"X","VideoId","Title","Uploader","PublishedDateTime","Viewcount","Likes","Dislikes","Length_in_sec","Duration"
0,"rqnAPo-r8uc","Top 100 Best Viral Videos of the Year 2019!","Newsflare","2019-11-30 17:15:01",310390,2677,179,1941,"00:32:21"
1,"db9EJdbKKKs","3, 2, 1.... FAIL! 🤣 | Funny Videos | AFV 2019","America's Funniest Home Videos","2019-12-04 14:00:11",58175,903,82,626,"00:10:26"
2,"nTWnU-AcoOE","Top Viral Videos Of The Month - August 2019","Newsflare","2019-08-29 18:15:00",2673083,20718,1977,1188,"00:19:48"
3,"mq7yszUJKAs","Top 50 Best Viral Videos Of The Month So Far (November 2019 - Wk1)","Newsflare","2019-11-09 17:30:00",876521,5389,516,822,"00:13:42"
4,"hFLZgMHdUK4","PART 1 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!","Raffy Tulfo in Action","2019-12-02 11:22:23",4882606,87206,3547,1231,"00:20:31"
5,"NC__B8j_Tk8","Top 60 Viral Videos Of The Month - October 2019","Newsflare","2019-10-26 16:00:04",1664966,12552,1079,1042,"00:17:22"
6,"vGVatXSGv4A","50 Best Viral Videos Of The Month - September 2019 (Top Virals)","Newsflare","2019-09-29 18:15:00",1041456,6969,547,953,"00:15:53"
7,"v9pOERMrHYI","Top 40 Viral Videos Of the Month - June 2019","Newsflare","2019-07-01 14:00:14",900744,6846,698,1104,"00:18:24"
8,"mwENYk66q6M","Hilarious Cat Viral Videos | Ultimate Cat Compilation 2019","Newsflare","2019-05-07 10:08:03",12233245,119978,5392,557,"00:09:17"
9,"uQl-r3pqnnQ","Top 100 Viral Videos of the Year 2018","This Is Happening","2018-12-30 16:48:52",41228504,223496,22796,1844,"00:30:44"
10,"xQGniTrrf1E","PART 3 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!","Raffy Tulfo in Action","2019-12-04 13:22:18",1628757,32617,1438,1824,"00:30:24"
11,"l4a7MBfz-sw","50 Best Viral Videos Of The Year, So Far (2019)","Newsflare","2019-08-18 17:00:09",5375783,52638,4993,898,"00:14:58"
12,"FC31lxet5B8","11 Most Unusual Kids in the World","#Mind Warehouse","2019-08-18 18:01:23",6207175,54418,2828,719,"00:11:59"
13,"VFn3HxKmJEY","She CAN'T Get It OFF!  😂 | Funny Fails | AFV 2019","America's Funniest Home Videos","2019-11-30 14:00:05",256073,1954,117,625,"00:10:25"
14,"1asKDNnjZlc","Dogs hilarious reaction when they see cat filter on owners' faces | Funny Dog Videos 2019","Newsflare","2019-11-22 16:30:00",586690,16855,372,81,"00:01:21"
15,"cWiPROxS2HA","Top 100 Viral Videos of the Year 2017","This Is Happening","2017-12-23 16:00:03",65694818,437043,34372,1757,"00:29:17"
16,"Z9jnQdmllMI","PART 2 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!","Raffy Tulfo in Action","2019-12-03 15:10:48",3498769,48797,2094,882,"00:14:42"
17,"WxRw73QWzuw","Top 50 Viral Video of the WEEK 2 - October 2019","FailSnare","2019-10-09 15:40:28",150015,601,64,602,"00:10:02"
18,"2_NzEpRVGxQ","Top 40 Viral Videos of the Year 2018","Newsflare","2018-12-22 19:52:34",13001037,80260,6248,487,"00:08:07"
19,"k8-S7VkQpT4","The 100 BEST Pranks | AFV Funniest Videos January 2019","America's Funniest Home Videos","2019-01-09 14:00:05",12815758,72277,6749,718,"00:11:58"
20,"68ORjuHT1og","Top 50 Funniest AFV Moments | Funny Videos Compilation","America's Funniest Home Videos","2018-09-27 15:15:00",10058776,22109,3048,495,"00:08:15"
21,"iCBPf4alAFM","Top Viral Videos Of The Month - April 2019","Newsflare","2019-04-28 18:45:01",1751992,11307,1103,804,"00:13:24"
22,"mFLoerQIFO0","Top 5 Hot Viral Videos | Shams Studio |","Shams Studio","2019-01-07 16:30:28",58107,162,86,360,"00:06:00"
23,"Qk4acvdyyqo","Top 10 Viral Videos of All Time","WatchMojo.com","2014-12-12 15:30:52",13774051,91807,6143,850,"00:14:10"
24,"yDTk6u2oVvo","TOP VIRAL VIDEO #2019","Mr Kuchbhi Tv Channel","2019-02-15 17:21:11",40712,70,27,100,"00:01:40"
25,"ys_uWgg8OY0","Dressed For FAILURE! 🤩😂 | Funniest Fails | AFV 2019","America's Funniest Home Videos","2019-11-29 14:00:15",566850,2948,311,635,"00:10:35"
26,"oSdUTQM_YH8","Organization's CC TV Footage. | Viral News Today!!","RED BD","2017-10-01 17:36:43",358165,404,138,430,"00:07:10"
27,"b-1l-Am555Y","Trump calls Trudeau ‘two-faced’ after NATO video goes viral","CityNews Toronto","2019-12-04 22:50:58",360,41,4,188,"00:03:08"
28,"u1FFnKY3mc8","Top 20 Viral Videos of the Month - January","Newsflare","2019-02-01 15:30:03",604739,4348,370,687,"00:11:27"
29,"gMAntzckPjI","Top 100 Viral Videos of the Year 2016 || JukinVideo","This Is Happening","2016-12-24 18:00:03",5236575,25791,4315,2701,"00:45:01"
30,"23f94jncwmg","delhi metro viral video ।।","Virsa Live Tv","2019-07-31 13:58:19",1960995,3761,1187,110,"00:01:50"
31,"jxtZQqgOc64","Top 40 Best Viral Videos Of The Month - November 2019 (Try not to laugh)","Newsflare","2019-11-16 17:30:00",274364,2147,196,601,"00:10:01"
32,"LWa0bdDaecE","VViral Review & Custom Bonuses - Create Viral Videos In 60 Seconds!","Dan Bradley","2019-12-04 15:43:26",16,2,0,1048,"00:17:28"
33,"nXwizkeMQs8","Trump calls Trudeau ‘two-faced’ after NATO video goes viral","680 NEWS","2019-12-04 22:50:43",29,1,0,188,"00:03:08"
34,"zN_1eNqMARI","Viral Video Shows Fight at Disneyland","KTLA 5","2019-07-08 17:47:42",2168766,7622,1378,110,"00:01:50"
35,"dR_qm8v2AMM","Bata sa viral abduction video, pinabulaanang dinukot siya | TV Patrol","ABS-CBN News","2019-12-03 11:49:07",19170,133,13,122,"00:02:02"
36,"pCUtPE4cAsk","Top Viral Animal Videos - May 2019","Newsflare","2019-06-01 18:00:08",2995784,41589,2320,777,"00:12:57"
37,"rQQLASt2Z-8","Liveleak Viral Videos Compilation - February 9 - February 16, 2019","The Law Of Five","2019-03-02 14:22:14",239200,1572,198,3673,"01:01:13"
38,"UIbH9GnyOsM","VIRAL VIDEO TATTOO ON PHILIPPINES 2019","The Cracker","2019-04-19 10:04:40",97546,128,43,131,"00:02:11"
39,"hKjfyZg_n8o","TRY NOT TO LAUGH - Viral Videos That Will Keep You Up At Night!","Funny Vines","2019-07-11 19:00:02",777180,4255,717,930,"00:15:30"
40,"5Hi9d_jaeOg","Top Viral Videos Of The Month - February 2019","Newsflare","2019-02-28 17:00:01",448332,2697,1190,1055,"00:17:35"
41,"HwNZGCJRGPo","December New Funny 😂😂 Tik Tok Video | Latest Tik Tok Funny Video | VIRAL INDIA","Viral India","2019-12-01 16:05:51",710565,5506,578,549,"00:09:09"
42,"UDxyybahXlc","Traffic halts as Giant Anaconda Crosses Road in Brazil; Video Goes Viral || GoViral","GoViral","2019-04-30 03:38:20",3847889,8801,1796,152,"00:02:32"
43,"6DtZosgMOs0","Top 100 Most Viral Videos of 2014 || JukinVideo","This Is Happening","2015-01-03 18:00:06",7165482,40579,3655,2376,"00:39:36"
44,"CDuySoVyaKw","Daniel talks about his viral video with James Reid |  TWBA","ABS-CBN Entertainment","2019-12-02 17:49:26",201341,3630,63,206,"00:03:26"
45,"cp1o-u5HQjA","Top 10 Shocking Viral Videos You Didn't Know Were FAKE","WatchMojo.com","2016-11-26 01:00:01",20715640,164021,18340,713,"00:11:53"
46,"BUOkzcwi-A8","Top 40 Viral Animal Videos Of the Month - June 2019","Newsflare","2019-07-02 15:00:03",412153,5521,260,747,"00:12:27"
47,"3sZPRUnyNFc","Emir Abdul, el reggaetonero viral, mostró todo su talento en la pista de Showmatch","eltrece","2019-12-04 03:00:00",411606,16494,408,382,"00:06:22"
48,"AMu7sOhRQAs","I Became Rich After My Private Video Went Viral","Dear Diary","2019-11-27 13:52:34",768467,14521,677,340,"00:05:40"
49,"dfJ92d5Sohw","TRY NOT TO LAUGH - BAD DAY? Watch These Funny Viral Videos!","Funny Vines","2019-08-09 19:00:08",447865,2567,385,989,"00:16:29"
50,"vk0vS0eOYyU","Most popular TikTok Videos October 2019 | Latest Tik Tok viral videos | New Today trending videos","Mental Sarkar","2019-10-16 09:58:27",5175123,31614,3627,444,"00:07:24"
51,"SaJmK1AjY3g","நித்யானந்தாவின் புதிய லீலை வீடியோ வெளியீடு | Nithyananda New Viral Video","News 18 Tamil Nadu","2019-12-02 12:49:25",224680,1967,255,590,"00:09:50"
52,"ertWPkKvo2Q","Musically Double Meaning  Most Popular Girls Viral Videos | NetChilly","Net Chilly","2018-08-08 10:39:57",3078977,12279,4076,299,"00:04:59"
53,"m3xt5fg4wf8","Viral video ng batang dinukot umano ng mga lalaking sakay ng van, fake news | NXT","ABS-CBN News","2019-12-03 14:01:04",19241,146,16,189,"00:03:09"
54,"8R8EzjVIhr8","TRY NOT TO LAUGH - Funny VIRAL Videos You Must Watch!","Funny Vines","2019-09-20 19:00:02",260403,1850,211,980,"00:16:20"
55,"LxW2y1zH2ec","கதறும் சிறுவனின்  கலக்கலான  VIRAL!!!!  Prank Video |  Tik Tok Funny  | IBC Tamil","IBC Tamil","2019-06-25 05:52:07",1546285,29543,1758,197,"00:03:17"
56,"xL4A-23sk2U","TRY NOT TO LAUGH - Top Viral Videos of The Week!","Funny Vines","2019-11-02 19:00:07",146805,1288,136,953,"00:15:53"
57,"IGLnN0DoDzg","Moradabad में Husband के Torcher का Viral Video, Wife को बुरी तरह पीटा | वनइंडिया हिंदी","Oneindia Hindi | वनइंडिया हिन्दी","2019-09-16 12:02:59",38451,182,56,373,"00:06:13"
58,"zMtES3rGHYI","TOP 100 VIRAL VIDEOS OF THE YEAR 2018","ViralSnare","2019-01-01 17:57:45",1744459,6484,966,1610,"00:26:50"
59,"fMlHrrMRItw","TRY NOT TO LAUGH - BET YOU'LL LAUGH AT THESE VIRAL VIDEOS!","Funny Vines","2019-06-29 19:00:04",359078,2371,327,885,"00:14:45"
60,"_k112zTWVsM","Viral China hits in 2018","South China Morning Post","2018-12-26 10:15:00",1039786,9304,873,504,"00:08:24"
61,"g9zJ1TVqo6I","Viral Video Ibu Seret Bocah 3 Tahun, Kaki Korban Ditarik Layaknya Binatang dan Dibawa ke Sumur","Tribunnews.com","2019-12-02 11:15:00",46525,96,38,191,"00:03:11"
62,"QSotQ2EeESI","viral video of the week  | Top 10 viral","TOP 10 VIRAL","2019-03-07 03:42:41",3613965,24004,1548,256,"00:04:16"
64,"CzfMYS6Vk9U","TikTok Video Viral Kaise Kare || How To Viral Tiktok Videos","Manoj Dey","2019-03-25 05:34:53",694160,33294,1996,409,"00:06:49"
65,"PGeGvibHBvE","Top 100 Viral Videos 2015 Compilation || JukinVideo Best of the Year","This Is Happening","2015-12-26 18:00:00",8272977,51592,5447,2129,"00:35:29"
66,"0GUT3Egdd5k","EASY HACKS TO MAKE YOUR VIDEOS VIRAL || Photo Hacks and DIY Ideas by 123 GO!","123 GO!","2019-04-25 18:45:02",20143318,127103,12906,543,"00:09:03"
67,"kbiOgRK7Mcs","Compilation Funny Videos 2019 / Funny TV NEW 2019","Best Just For Laughs Gags","2019-07-17 09:00:07",435996,1566,284,722,"00:12:02"
68,"t8RoL-eqzeM","TRY NOT TO LAUGH - Funny VIRAL Videos That Make Me Forget School!","Funny Vines","2019-10-27 19:00:08",145200,1423,152,989,"00:16:29"
69,"K_Duwt0DevU","viral video of the week  | Top 10 viral","TOP 10 VIRAL","2019-02-07 04:43:23",2388079,19499,1865,302,"00:05:02"
70,"P4gPuR5hlQU","Dil ek or deta h do char ko|| TIK TOK viral VIDEOS || PRASHANT RAHI","PRASHANT RAHI","2019-12-04 04:29:20",24,9,0,175,"00:02:55"
71,"xUGfFoLT6K4","#Today Vigo viral videos#trending Vigo comedy video songs | latest tiktok funny video jokes 2019","A1 Music Masti","2019-12-04 12:51:22",463,25,3,379,"00:06:19"
72,"GXS6RC-oDds","10 FAKE Viral Videos That FOOLED Everyone","Top 10 Archive","2017-03-17 14:00:01",40125,634,1307,554,"00:09:14"
73,"X1b_QKdH3g8","Turning Seashells Into Glass (Debunking Viral Videos)","The King of Random","2019-09-10 21:00:06",2414607,41353,1568,905,"00:15:05"
74,"mqR0MiRbBRQ","The Worst ""Viral Videos"" with Drew Gooden","Danny Gonzalez","2018-02-27 21:04:10",4882963,163771,1403,1329,"00:22:09"
75,"HWj_mj-kucE","TRY NOT TO LAUGH - Bad Day? Funny Viral Videos to Make Your Day!","Funny Vines","2019-11-09 20:00:00",242335,1564,194,1056,"00:17:36"
76,"OsOoZbwYXYA","Indian man🤣doing paragliding viral video | super funny🤣🤣🤣","Karan Bhangu","2019-08-26 14:09:22",153840,3142,105,379,"00:06:19"
77,"A6fWG169hH0","Pakistani Tik Tok superstars viral videos Ch Zulqarnain,Famous molvi and more..","Tik Tok","2019-12-04 09:54:06",145,20,0,595,"00:09:55"
78,"ALTzR7yQ2Tw","TRY NOT TO LAUGH - Funny Viral Videos From Around The Internet!","Funny Vines","2019-08-24 19:00:00",450787,3236,370,700,"00:11:40"
79,"X411xu3Q3IY","REACTING TO MY OLD VIRAL VIDEOS **cringe alert**","Alex Hobern","2019-12-04 18:00:06",335,32,0,800,"00:13:20"
80,"8zZ2EixiUqw","OLD VIRAL VIDEOS! - Diamondbolt","Diamondbolt","2018-12-02 22:08:11",300615,10384,219,749,"00:12:29"
81,"z3OcfyWcZIo","Shaadi funny viral videos part-2!// shaadi funny moment on stage","JMD Gautam","2019-06-11 04:51:59",2201896,18543,1463,201,"00:03:21"
82,"DXnuapurggY","Latest Trending Tik Tok Video | New 😂Funny Tik Tok Video | Viral India","Viral India","2019-11-29 07:51:47",724661,3578,538,375,"00:06:15"
83,"RfRbSFN-D6M","50 Best Animal Videos Of The Year, So Far (2019)","Newsflare","2019-08-25 18:30:00",787562,13828,481,964,"00:16:04"
84,"Cz8FHOS-RT4","TikTok New Viral Videos | Riyaz, Jannat, Faisu, Gima, Arishfa, Lucky | Trending Tik Tok Videos","Faisal Malik Vigo","2019-06-12 01:30:00",8037432,65633,7105,308,"00:05:08"
85,"VgEQjdTzQVo","YouTubers React To 10 Years Of YouTube Viral Videos","FBE","2019-04-11 21:00:02",4723970,83354,2442,739,"00:12:19"
86,"c4wnjWcHuxw","How to Make a Video Go Viral: The Magic Formula","Video Influencers","2019-09-04 07:00:07",24859,1420,34,1579,"00:26:19"
87,"T0WmnkpW25c","Annoying Orange: Viral Videos Trashed! #1-6 (#2 & #4 Are Missing)","WhataRecorder Buddy","2019-09-11 10:14:10",6540,125,2,724,"00:12:04"
88,"kUdqrMSWSMM","The First EVER Viral Videos...","S2W","2017-10-17 18:18:08",1424109,42584,658,693,"00:11:33"
89,"EvZV1_GfaP0","Today's new viral video | TikTok mix tape video | Letest video | Tech Masala","Tech Masala","2019-11-29 04:05:43",19465,400,18,487,"00:08:07"
90,"hpil9KWT_uA","(use headphones) musically adult viral video 💞💞","CRAZY TOONS","2018-09-11 22:48:48",2247326,15162,3053,828,"00:13:48"
91,"b2dVx96YOrM","viral video of the week  | Top 10 viral","TOP 10 VIRAL","2019-05-06 01:07:55",153464,1491,44,252,"00:04:12"
92,"QntBkDFkiuY","Will Smith Surprises Viral Video Classmates for Their Kindness","TheEllenShow","2019-09-20 21:00:03",9178583,254364,3332,442,"00:07:22"
93,"Sg9T7t_nI3s","Top 10 Funniest Filipino Viral Videos of 2017","AdoboGeeks","2018-01-24 12:11:14",201820,2154,287,693,"00:11:33"
94,"vJzGV14DKBI","Rabi Pirzada & Shaheen Shah Afridi - Hareem Shah Viral Video","Top N Trending","2019-11-02 14:45:09",492678,1391,426,304,"00:05:04"
95,"2fSV5LrxISM","Top 100 Viral Videos of the Year 2015 || JukinVideo (Part 1)","This Is Happening","2015-11-30 18:00:00",2888648,22813,1858,560,"00:09:20"
96,"R78CsNu4iyE","Top 100 Viral Videos of the Year 2016 || JukinVideo (Part 3)","This Is Happening","2016-12-12 18:00:01",1565226,11894,973,643,"00:10:43"
98,"3DsUiMG9nT4","Amazing Filipino Viral Videos","Def Noodles","2019-07-17 06:38:33",82212,2744,54,1013,"00:16:53"
99,"b0nQu2zu6ro","Asian dad reacts to Viral Videos","yourchonny","2011-09-08 16:56:47",4287875,48920,1010,223,"00:03:43"
