VideoId,Title,Uploader,PublishedDateTime,Viewcount,Likes,Dislikes,Length_in_sec,Duration,Category,NoofComments
rqnAPo-r8uc,Top 100 Best Viral Videos of the Year 2019!,Newsflare,11/30/2019 17:15,310390,2677,179,1941,0:32:21,News & Politics,1540
db9EJdbKKKs,"3, 2, 1.... FAIL! ðŸ¤£ | Funny Videos | AFV 2019",America's Funniest Home Videos,12/4/2019 14:00,58175,903,82,626,0:10:26,Comedy,126
nTWnU-AcoOE,Top Viral Videos Of The Month - August 2019,Newsflare,8/29/2019 18:15,2673083,20718,1977,1188,0:19:48,News & Politics,1828
mq7yszUJKAs,Top 50 Best Viral Videos Of The Month So Far (November 2019 - Wk1),Newsflare,11/9/2019 17:30,876521,5389,516,822,0:13:42,News & Politics,400
hFLZgMHdUK4,"PART 1 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!",Raffy Tulfo in Action,12/2/2019 11:22,4882606,87206,3547,1231,0:20:31,News & Politics,32536
NC__B8j_Tk8,Top 60 Viral Videos Of The Month - October 2019,Newsflare,10/26/2019 16:00,1664966,12552,1079,1042,0:17:22,News & Politics,1453
vGVatXSGv4A,50 Best Viral Videos Of The Month - September 2019 (Top Virals),Newsflare,9/29/2019 18:15,1041456,6969,547,953,0:15:53,News & Politics,339
v9pOERMrHYI,Top 40 Viral Videos Of the Month - June 2019,Newsflare,7/1/2019 14:00,900744,6846,698,1104,0:18:24,News & Politics,603
mwENYk66q6M,Hilarious Cat Viral Videos | Ultimate Cat Compilation 2019,Newsflare,5/7/2019 10:08,12233245,119978,5392,557,0:09:17,News & Politics,7389
uQl-r3pqnnQ,Top 100 Viral Videos of the Year 2018,This Is Happening,12/30/2018 16:48,41228504,223496,22796,1844,0:30:44,Entertainment,19836
xQGniTrrf1E,"PART 3 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!",Raffy Tulfo in Action,12/4/2019 13:22,1628757,32617,1438,1824,0:30:24,News & Politics,11940
l4a7MBfz-sw,"50 Best Viral Videos Of The Year, So Far (2019)",Newsflare,8/18/2019 17:00,5375783,52638,4993,898,0:14:58,News & Politics,3464
FC31lxet5B8,11 Most Unusual Kids in the World,#Mind Warehouse,8/18/2019 18:01,6207175,54418,2828,719,0:11:59,Education,3871
VFn3HxKmJEY,She CAN'T Get It OFF!  ðŸ˜‚ | Funny Fails | AFV 2019,America's Funniest Home Videos,11/30/2019 14:00,256073,1954,117,625,0:10:25,Comedy,88
1asKDNnjZlc,Dogs hilarious reaction when they see cat filter on owners' faces | Funny Dog Videos 2019,Newsflare,11/22/2019 16:30,586690,16855,372,81,0:01:21,News & Politics,1173
cWiPROxS2HA,Top 100 Viral Videos of the Year 2017,This Is Happening,12/23/2017 16:00,65694818,437043,34372,1757,0:29:17,Entertainment,30411
Z9jnQdmllMI,"PART 2 | VIRAL VIDEO NG DUKTOR NA NAGWALA AT NANGLAIT NG KAPWA MOTORISTA, INAKSYUNAN!",Raffy Tulfo in Action,12/3/2019 15:10,3498769,48797,2094,882,0:14:42,News & Politics,14305
WxRw73QWzuw,Top 50 Viral Video of the WEEK 2 - October 2019,FailSnare,10/9/2019 15:40,150015,601,64,602,0:10:02,Entertainment,49
2_NzEpRVGxQ,Top 40 Viral Videos of the Year 2018,Newsflare,12/22/2018 19:52,13001037,80260,6248,487,0:08:07,News & Politics,3392
k8-S7VkQpT4,The 100 BEST Pranks | AFV Funniest Videos January 2019,America's Funniest Home Videos,1/9/2019 14:00,12815758,72277,6749,718,0:11:58,Comedy,2447
68ORjuHT1og,Top 50 Funniest AFV Moments | Funny Videos Compilation,America's Funniest Home Videos,9/27/2018 15:15,10058776,22109,3048,495,0:08:15,Comedy,718
iCBPf4alAFM,Top Viral Videos Of The Month - April 2019,Newsflare,4/28/2019 18:45,1751992,11307,1103,804,0:13:24,News & Politics,1107
mFLoerQIFO0,Top 5 Hot Viral Videos | Shams Studio |,Shams Studio,1/7/2019 16:30,58107,162,86,360,0:06:00,Comedy,3894
Qk4acvdyyqo,Top 10 Viral Videos of All Time,WatchMojo.com,12/12/2014 15:30,13774051,91807,6143,850,0:14:10,Entertainment,14146
yDTk6u2oVvo,TOP VIRAL VIDEO #2019,Mr Kuchbhi Tv Channel,2/15/2019 17:21,40712,70,27,100,0:01:40,Entertainment,8
ys_uWgg8OY0,Dressed For FAILURE! ðŸ¤©ðŸ˜‚ | Funniest Fails | AFV 2019,America's Funniest Home Videos,11/29/2019 14:00,566850,2948,311,635,0:10:35,Comedy,129
oSdUTQM_YH8,Organization's CC TV Footage. | Viral News Today!!,RED BD,10/1/2017 17:36,358165,404,138,430,0:07:10,People & Blogs,556
b-1l-Am555Y,Trump calls Trudeau â€˜two-facedâ€™ after NATO video goes viral,CityNews Toronto,12/4/2019 22:50,360,41,4,188,0:03:08,News & Politics,1833
u1FFnKY3mc8,Top 20 Viral Videos of the Month - January,Newsflare,2/1/2019 15:30,604739,4348,370,687,0:11:27,News & Politics,599
gMAntzckPjI,Top 100 Viral Videos of the Year 2016 || JukinVideo,This Is Happening,12/24/2016 18:00,5236575,25791,4315,2701,0:45:01,People & Blogs,896
23f94jncwmg,delhi metro viral video à¥¤à¥¤,Virsa Live Tv,7/31/2019 13:58,1960995,3761,1187,110,0:01:50,People & Blogs,374
jxtZQqgOc64,Top 40 Best Viral Videos Of The Month - November 2019 (Try not to laugh),Newsflare,11/16/2019 17:30,274364,2147,196,601,0:10:01,News & Politics,392
LWa0bdDaecE,VViral Review & Custom Bonuses - Create Viral Videos In 60 Seconds!,Dan Bradley,12/4/2019 15:43,16,2,0,1048,0:17:28,Howto & Style,4
nXwizkeMQs8,Trump calls Trudeau â€˜two-facedâ€™ after NATO video goes viral,680 NEWS,12/4/2019 22:50,29,1,0,188,0:03:08,News & Politics,5
zN_1eNqMARI,Viral Video Shows Fight at Disneyland,KTLA 5,7/8/2019 17:47,2168766,7622,1378,110,0:01:50,News & Politics,10533
dR_qm8v2AMM,"Bata sa viral abduction video, pinabulaanang dinukot siya | TV Patrol",ABS-CBN News,12/3/2019 11:49,19170,133,13,122,0:02:02,News & Politics,53
pCUtPE4cAsk,Top Viral Animal Videos - May 2019,Newsflare,6/1/2019 18:00,2995784,41589,2320,777,0:12:57,News & Politics,4388
rQQLASt2Z-8,"Liveleak Viral Videos Compilation - February 9 - February 16, 2019",The Law Of Five,3/2/2019 14:22,239200,1572,198,3673,1:01:13,People & Blogs,64
UIbH9GnyOsM,VIRAL VIDEO TATTOO ON PHILIPPINES 2019,The Cracker,4/19/2019 10:04,97546,128,43,131,0:02:11,People & Blogs,12
hKjfyZg_n8o,TRY NOT TO LAUGH - Viral Videos That Will Keep You Up At Night!,Funny Vines,7/11/2019 19:00,777180,4255,717,930,0:15:30,Comedy,192
5Hi9d_jaeOg,Top Viral Videos Of The Month - February 2019,Newsflare,2/28/2019 17:00,448332,2697,1190,1055,0:17:35,News & Politics,342
HwNZGCJRGPo,December New Funny ðŸ˜‚ðŸ˜‚ Tik Tok Video | Latest Tik Tok Funny Video | VIRAL INDIA,Viral India,12/1/2019 16:05,710565,5506,578,549,0:09:09,People & Blogs,320
UDxyybahXlc,Traffic halts as Giant Anaconda Crosses Road in Brazil; Video Goes Viral || GoViral,GoViral,4/30/2019 3:38,3847889,8801,1796,152,0:02:32,Entertainment,1132
6DtZosgMOs0,Top 100 Most Viral Videos of 2014 || JukinVideo,This Is Happening,1/3/2015 18:00,7165482,40579,3655,2376,0:39:36,Comedy,264
CDuySoVyaKw,Daniel talks about his viral video with James Reid |  TWBA,ABS-CBN Entertainment,12/2/2019 17:49,201341,3630,63,206,0:03:26,Entertainment,384
cp1o-u5HQjA,Top 10 Shocking Viral Videos You Didn't Know Were FAKE,WatchMojo.com,11/26/2016 1:00,20715640,164021,18340,713,0:11:53,Entertainment,23638
BUOkzcwi-A8,Top 40 Viral Animal Videos Of the Month - June 2019,Newsflare,7/2/2019 15:00,412153,5521,260,747,0:12:27,News & Politics,341
3sZPRUnyNFc,"Emir Abdul, el reggaetonero viral, mostrÃ³ todo su talento en la pista de Showmatch",eltrece,12/4/2019 3:00,411606,16494,408,382,0:06:22,Entertainment,3073
AMu7sOhRQAs,I Became Rich After My Private Video Went Viral,Dear Diary,11/27/2019 13:52,768467,14521,677,340,0:05:40,People & Blogs,1745
dfJ92d5Sohw,TRY NOT TO LAUGH - BAD DAY? Watch These Funny Viral Videos!,Funny Vines,8/9/2019 19:00,447865,2567,385,989,0:16:29,Comedy,142
vk0vS0eOYyU,Most popular TikTok Videos October 2019 | Latest Tik Tok viral videos | New Today trending videos,Mental Sarkar,10/16/2019 9:58,5175123,31614,3627,444,0:07:24,Entertainment,547
SaJmK1AjY3g,à®¨à®¿à®¤à¯à®¯à®¾à®©à®¨à¯à®¤à®¾à®µà®¿à®©à¯ à®ªà¯à®¤à®¿à®¯ à®²à¯€à®²à¯ˆ à®µà¯€à®Ÿà®¿à®¯à¯‹ à®µà¯†à®³à®¿à®¯à¯€à®Ÿà¯ | Nithyananda New Viral Video,News 18 Tamil Nadu,12/2/2019 12:49,224680,1967,255,590,0:09:50,News & Politics,1354
ertWPkKvo2Q,Musically Double Meaning  Most Popular Girls Viral Videos | NetChilly,Net Chilly,8/8/2018 10:39,3078977,12279,4076,299,0:04:59,Comedy,861
m3xt5fg4wf8,"Viral video ng batang dinukot umano ng mga lalaking sakay ng van, fake news | NXT",ABS-CBN News,12/3/2019 14:01,19241,146,16,189,0:03:09,News & Politics,41
8R8EzjVIhr8,TRY NOT TO LAUGH - Funny VIRAL Videos You Must Watch!,Funny Vines,9/20/2019 19:00,260403,1850,211,980,0:16:20,Comedy,74
LxW2y1zH2ec,à®•à®¤à®±à¯à®®à¯ à®šà®¿à®±à¯à®µà®©à®¿à®©à¯  à®•à®²à®•à¯à®•à®²à®¾à®©  VIRAL!!!!  Prank Video |  Tik Tok Funny  | IBC Tamil,IBC Tamil,6/25/2019 5:52,1546285,29543,1758,197,0:03:17,People & Blogs,891
xL4A-23sk2U,TRY NOT TO LAUGH - Top Viral Videos of The Week!,Funny Vines,11/2/2019 19:00,146805,1288,136,953,0:15:53,Comedy,82
IGLnN0DoDzg,"Moradabad à¤®à¥‡à¤‚ Husband à¤•à¥‡ Torcher à¤•à¤¾ Viral Video, Wife à¤•à¥‹ à¤¬à¥à¤°à¥€ à¤¤à¤°à¤¹ à¤ªà¥€à¤Ÿà¤¾ | à¤µà¤¨à¤‡à¤‚à¤¡à¤¿à¤¯à¤¾ à¤¹à¤¿à¤‚à¤¦à¥€",Oneindia Hindi | à¤µà¤¨à¤‡à¤‚à¤¡à¤¿à¤¯à¤¾ à¤¹à¤¿à¤¨à¥à¤¦à¥€,9/16/2019 12:02,38451,182,56,373,0:06:13,News & Politics,129
zMtES3rGHYI,TOP 100 VIRAL VIDEOS OF THE YEAR 2018,ViralSnare,1/1/2019 17:57,1744459,6484,966,1610,0:26:50,Entertainment,1869
fMlHrrMRItw,TRY NOT TO LAUGH - BET YOU'LL LAUGH AT THESE VIRAL VIDEOS!,Funny Vines,6/29/2019 19:00,359078,2371,327,885,0:14:45,Comedy,149
_k112zTWVsM,Viral China hits in 2018,South China Morning Post,12/26/2018 10:15,1039786,9304,873,504,0:08:24,News & Politics,1239
g9zJ1TVqo6I,"Viral Video Ibu Seret Bocah 3 Tahun, Kaki Korban Ditarik Layaknya Binatang dan Dibawa ke Sumur",Tribunnews.com,12/2/2019 11:15,46525,96,38,191,0:03:11,News & Politics,75
QSotQ2EeESI,viral video of the week  | Top 10 viral,TOP 10 VIRAL,3/7/2019 3:42,3613965,24004,1548,256,0:04:16,Entertainment,355
Dp6Jx-D0oHc,"Top 10 Amazing Catch Big Cobra Snakes Viral Videos 2017 Near Excavators and Tractors,Hand Tractor",Cambodia Daily Life,4/26/2017 14:38,5874357,0,0,2144,0:35:44,Entertainment,184
CzfMYS6Vk9U,TikTok Video Viral Kaise Kare || How To Viral Tiktok Videos,Manoj Dey,3/25/2019 5:34,694160,33294,1996,409,0:06:49,Science & Technology,4237
PGeGvibHBvE,Top 100 Viral Videos 2015 Compilation || JukinVideo Best of the Year,This Is Happening,12/26/2015 18:00,8272977,51592,5447,2129,0:35:29,Entertainment,4158
0GUT3Egdd5k,EASY HACKS TO MAKE YOUR VIDEOS VIRAL || Photo Hacks and DIY Ideas by 123 GO!,123 GO!,4/25/2019 18:45,20143318,127103,12906,543,0:09:03,People & Blogs,4560
kbiOgRK7Mcs,Compilation Funny Videos 2019 / Funny TV NEW 2019,Best Just For Laughs Gags,7/17/2019 9:00,435996,1566,284,722,0:12:02,Comedy,69
t8RoL-eqzeM,TRY NOT TO LAUGH - Funny VIRAL Videos That Make Me Forget School!,Funny Vines,10/27/2019 19:00,145200,1423,152,989,0:16:29,Comedy,80
K_Duwt0DevU,viral video of the week  | Top 10 viral,TOP 10 VIRAL,2/7/2019 4:43,2388079,19499,1865,302,0:05:02,Entertainment,1541
P4gPuR5hlQU,Dil ek or deta h do char ko|| TIK TOK viral VIDEOS || PRASHANT RAHI,PRASHANT RAHI,12/4/2019 4:29,24,9,0,175,0:02:55,Entertainment,9
xUGfFoLT6K4,#Today Vigo viral videos#trending Vigo comedy video songs | latest tiktok funny video jokes 2019,A1 Music Masti,12/4/2019 12:51,463,25,3,379,0:06:19,Entertainment,2
GXS6RC-oDds,10 FAKE Viral Videos That FOOLED Everyone,Top 10 Archive,3/17/2017 14:00,40125,634,1307,554,0:09:14,Education,97
X1b_QKdH3g8,Turning Seashells Into Glass (Debunking Viral Videos),The King of Random,9/10/2019 21:00,2414607,41353,1568,905,0:15:05,Education,2955
mqR0MiRbBRQ,"The Worst ""Viral Videos"" with Drew Gooden",Danny Gonzalez,2/27/2018 21:04,4882963,163771,1403,1329,0:22:09,Comedy,10894
HWj_mj-kucE,TRY NOT TO LAUGH - Bad Day? Funny Viral Videos to Make Your Day!,Funny Vines,11/9/2019 20:00,242335,1564,194,1056,0:17:36,Comedy,191
OsOoZbwYXYA,Indian manðŸ¤£doing paragliding viral video | super funnyðŸ¤£ðŸ¤£ðŸ¤£,Karan Bhangu,8/26/2019 14:09,153840,3142,105,379,0:06:19,Entertainment,274
A6fWG169hH0,"Pakistani Tik Tok superstars viral videos Ch Zulqarnain,Famous molvi and more..",Tik Tok,12/4/2019 9:54,145,20,0,595,0:09:55,People & Blogs,69
ALTzR7yQ2Tw,TRY NOT TO LAUGH - Funny Viral Videos From Around The Internet!,Funny Vines,8/24/2019 19:00,450787,3236,370,700,0:11:40,Comedy,171
X411xu3Q3IY,REACTING TO MY OLD VIRAL VIDEOS **cringe alert**,Alex Hobern,12/4/2019 18:00,335,32,0,800,0:13:20,Comedy,24
8zZ2EixiUqw,OLD VIRAL VIDEOS! - Diamondbolt,Diamondbolt,12/2/2018 22:08,300615,10384,219,749,0:12:29,Entertainment,2084
z3OcfyWcZIo,Shaadi funny viral videos part-2!// shaadi funny moment on stage,JMD Gautam,6/11/2019 4:51,2201896,18543,1463,201,0:03:21,Gaming,490
DXnuapurggY,Latest Trending Tik Tok Video | New ðŸ˜‚Funny Tik Tok Video | Viral India,Viral India,11/29/2019 7:51,724661,3578,538,375,0:06:15,People & Blogs,151
RfRbSFN-D6M,"50 Best Animal Videos Of The Year, So Far (2019)",Newsflare,8/25/2019 18:30,787562,13828,481,964,0:16:04,News & Politics,1046
Cz8FHOS-RT4,"TikTok New Viral Videos | Riyaz, Jannat, Faisu, Gima, Arishfa, Lucky | Trending Tik Tok Videos",Faisal Malik Vigo,6/12/2019 1:30,8037432,65633,7105,308,0:05:08,Entertainment,1200
VgEQjdTzQVo,YouTubers React To 10 Years Of YouTube Viral Videos,FBE,4/11/2019 21:00,4723970,83354,2442,739,0:12:19,Entertainment,6044
c4wnjWcHuxw,How to Make a Video Go Viral: The Magic Formula,Video Influencers,9/4/2019 7:00,24859,1420,34,1579,0:26:19,Entertainment,605
T0WmnkpW25c,Annoying Orange: Viral Videos Trashed! #1-6 (#2 & #4 Are Missing),WhataRecorder Buddy,9/11/2019 10:14,6540,125,2,724,0:12:04,Entertainment,30
kUdqrMSWSMM,The First EVER Viral Videos...,S2W,10/17/2017 18:18,1424109,42584,658,693,0:11:33,People & Blogs,2804
EvZV1_GfaP0,Today's new viral video | TikTok mix tape video | Letest video | Tech Masala,Tech Masala,11/29/2019 4:05,19465,400,18,487,0:08:07,Entertainment,13
hpil9KWT_uA,(use headphones) musically adult viral video ðŸ’žðŸ’ž,CRAZY TOONS,9/11/2018 22:48,2247326,15162,3053,828,0:13:48,Entertainment,598
b2dVx96YOrM,viral video of the week  | Top 10 viral,TOP 10 VIRAL,5/6/2019 1:07,153464,1491,44,252,0:04:12,Entertainment,23
QntBkDFkiuY,Will Smith Surprises Viral Video Classmates for Their Kindness,TheEllenShow,9/20/2019 21:00,9178583,254364,3332,442,0:07:22,Entertainment,6841
Sg9T7t_nI3s,Top 10 Funniest Filipino Viral Videos of 2017,AdoboGeeks,1/24/2018 12:11,201820,2154,287,693,0:11:33,Entertainment,134
vJzGV14DKBI,Rabi Pirzada & Shaheen Shah Afridi - Hareem Shah Viral Video,Top N Trending,11/2/2019 14:45,492678,1391,426,304,0:05:04,People & Blogs,460
2fSV5LrxISM,Top 100 Viral Videos of the Year 2015 || JukinVideo (Part 1),This Is Happening,11/30/2015 18:00,2888648,22813,1858,560,0:09:20,Entertainment,1075
R78CsNu4iyE,Top 100 Viral Videos of the Year 2016 || JukinVideo (Part 3),This Is Happening,12/12/2016 18:00,1565226,11894,973,643,0:10:43,Entertainment,796
n9_7UkshaxY,New Trending Funny ðŸ˜‚ Tik Tok Video | Latest Tik Tok Video by Viral India,Viral India,11/16/2019 4:08,1052446,0,0,575,0:09:35,People & Blogs,176
3DsUiMG9nT4,Amazing Filipino Viral Videos,Def Noodles,7/17/2019 6:38,82212,2744,54,1013,0:16:53,Entertainment,252
b0nQu2zu6ro,Asian dad reacts to Viral Videos,yourchonny,9/8/2011 16:56,4287875,48920,1010,223,0:03:43,Comedy,7025
